title,popularity,score,members,rank
Kaguya-sama wa Kokurasetai: Ultra Romantic,296,9.14,"597,126",1
Fullmetal Alchemist: Brotherhood,3,9.13,"2,934,027",2
Gintama°,338,9.08,"545,268",3
Steins;Gate,13,9.08,"2,270,278",4
Shingeki no Kyojin Season 3 Part 2,28,9.07,"1,883,070",5
Gintama',381,9.05,"480,529",6
Gintama': Enchousen,698,9.04,"286,132",7
Gintama: The Final,1681,9.04,"107,637",8
Hunter x Hunter (2011),10,9.04,"2,420,535",9
Fruits Basket: The Final,523,9.03,"362,109",10
Ginga Eiyuu Densetsu,704,9.03,"283,633",11
Gintama.,737,8.99,"272,793",12
3-gatsu no Lion 2nd Season,531,8.95,"356,751",13
Gintama,131,8.95,"955,002",14
Koe no Katachi,18,8.95,"2,002,664",15
Clannad: After Story,106,8.94,"1,090,607",16
Violet Evergarden Movie,404,8.94,"456,347",17
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,943,8.93,"212,961",18
Code Geass: Hangyaku no Lelouch R2,47,8.91,"1,588,607",19
Owarimonogatari 2nd Season,540,8.9,"353,480",20
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,1193,8.88,"167,210",21
Kimetsu no Yaiba: Yuukaku-hen,137,8.86,"939,877",22
Kimi no Na wa.,11,8.86,"2,393,539",23
Monster,152,8.84,"874,066",24
Shingeki no Kyojin: The Final Season,44,8.83,"1,630,923",25
Shingeki no Kyojin: The Final Season Part 2,147,8.82,"906,672",26
Spy x Family,142,8.82,"927,120",27
Kingdom 3rd Season,2156,8.82,"73,305",28
Gintama.: Shirogane no Tamashii-hen,1093,8.81,"181,069",29
Mob Psycho 100 II,83,8.81,"1,262,360",30
Kingdom 4th Season,3375,8.8,"32,817",31
Kizumonogatari III: Reiketsu-hen,460,8.8,"409,099",32
Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,112,8.79,"1,052,559",33
Shiguang Dailiren,904,8.79,"222,645",34
Sen to Chihiro no Kamikakushi,43,8.78,"1,634,153",35
Monogatari Series: Second Season,276,8.77,"616,432",36
Made in Abyss: Retsujitsu no Ougonkyou,912,8.76,"219,844",37
Cowboy Bebop,42,8.75,"1,639,316",38
Hajime no Ippo,374,8.75,"489,635",39
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,1160,8.75,"171,276",40
Mushishi Zoku Shou 2nd Season,832,8.74,"239,445",41
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,274,8.73,"622,364",42
Odd Taxi,604,8.73,"322,308",43
Vinland Saga,98,8.73,"1,132,844",44
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,777,8.71,"259,088",45
86 Part 2,595,8.71,"328,224",46
Ashita no Joe 2,2935,8.71,"42,660",47
Fate/stay night Movie: Heaven's Feel - III. Spring Song,708,8.71,"282,137",48
Code Geass: Hangyaku no Lelouch,17,8.7,"2,014,862",49
Mushishi Zoku Shou,740,8.7,"272,576",50
Great Teacher Onizuka,215,8.69,"734,844",51
Jujutsu Kaisen (TV),24,8.68,"1,924,743",52
Mo Dao Zu Shi: Wanjie Pian,2466,8.68,"58,913",53
Mononoke Hime,103,8.67,"1,110,510",54
Mushishi,203,8.67,"748,036",55
Violet Evergarden,51,8.67,"1,532,759",56
Made in Abyss,93,8.67,"1,161,227",57
Hajime no Ippo: New Challenger,810,8.66,"245,862",58
Howl no Ugoku Shiro,94,8.66,"1,147,428",59
Kimetsu no Yaiba Movie: Mugen Ressha-hen,89,8.66,"1,188,578",60
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,556,8.66,"345,926",61
One Piece,25,8.66,"1,924,267",62
Shigatsu wa Kimi no Uso,21,8.66,"1,963,401",63
Natsume Yuujinchou Shi,899,8.65,"224,768",64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,100,8.65,"1,116,178",65
Haikyuu!! Second Season,84,8.64,"1,259,118",66
Evangelion: 3.0+1.0 Thrice Upon a Time,657,8.63,"301,043",67
Natsume Yuujinchou Roku,1198,8.63,"166,364",68
Tengen Toppa Gurren Lagann,61,8.63,"1,462,617",69
Ping Pong the Animation,552,8.62,"347,278",70
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,294,8.62,"597,688",71
Shingeki no Kyojin Season 3,19,8.62,"2,001,867",72
Suzumiya Haruhi no Shoushitsu,321,8.62,"564,841",73
Death Note,2,8.62,"3,457,399",74
Ousama Ranking,422,8.61,"441,379",75
Mushishi Zoku Shou: Suzu no Shizuku,1574,8.6,"116,215",76
Ookami Kodomo no Ame to Yuki,207,8.59,"743,068",77
Hajime no Ippo: Rising,915,8.59,"219,013",78
Kizumonogatari II: Nekketsu-hen,470,8.59,"397,942",79
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,157,8.58,"858,540",80
Natsume Yuujinchou Go,1205,8.58,"165,642",81
Natsume Yuujinchou San,863,8.58,"231,790",82
Shouwa Genroku Rakugo Shinjuu,753,8.58,"267,866",83
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,1018,8.57,"196,260",84
Yojouhan Shinwa Taikei,473,8.57,"397,168",85
Shoujo☆Kageki Revue Starlight Movie,5399,8.56,"11,135",86
Fate/Zero 2nd Season,120,8.56,"1,015,279",87
Fruits Basket 2nd Season,456,8.56,"411,846",88
Kimi no Suizou wo Tabetai,182,8.56,"787,776",89
Mushishi: Hihamukage,1475,8.55,"126,103",90
Neon Genesis Evangelion: The End of Evangelion,174,8.55,"803,391",91
Zoku Natsume Yuujinchou,872,8.55,"228,692",92
Slam Dunk,775,8.54,"259,562",93
Yakusoku no Neverland,39,8.54,"1,717,110",94
Bakuman. 3rd Season,632,8.54,"308,548",95
Fruits Basket: Prelude,2359,8.54,"63,586",96
Haikyuu!! To the Top Part 2,243,8.54,"669,804",97
Kara no Kyoukai Movie 5: Mujun Rasen,909,8.54,"220,811",98
Kenpuu Denki Berserk,335,8.54,"548,848",99
Kimetsu no Yaiba,9,8.54,"2,494,850",100
Gintama.: Porori-hen,1114,8.53,"176,367",101
Perfect Blue,311,8.53,"578,797",102
Shingeki no Kyojin,1,8.53,"3,475,372",103
Sora yori mo Tooi Basho,419,8.53,"444,821",104
Yuru Camp△ Season 2,1077,8.53,"183,882",105
Nana,328,8.52,"559,424",106
Steins;Gate 0,190,8.52,"771,602",107
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,593,8.52,"329,303",108
Gintama Movie 1: Shinyaku Benizakura-hen,1321,8.52,"147,557",109
Jujutsu Kaisen 0 Movie,423,8.52,"441,043",110
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,945,8.52,"212,412",111
One Punch Man,4,8.51,"2,838,667",112
Uchuu Kyoudai,1110,8.51,"177,341",113
Samurai Champloo,101,8.5,"1,114,667",114
Shingeki no Kyojin Season 2,12,8.5,"2,357,379",115
Ansatsu Kyoushitsu 2nd Season,85,8.5,"1,254,514",116
Banana Fish,218,8.5,"728,377",117
Hotaru no Haka,305,8.5,"586,110",118
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,132,8.5,"953,601",119
Aria the Origination,1568,8.49,"116,614",120
Karakai Jouzu no Takagi-san 3,1372,8.49,"139,569",121
Rainbow: Nisha Rokubou no Shichinin,522,8.49,"362,146",122
Tian Guan Ci Fu Special,3411,8.49,"32,064",123
Mob Psycho 100,35,8.48,"1,760,888",124
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,225,8.48,"718,653",125
Chihayafuru 3,1516,8.48,"121,457",126
Gintama: The Semi-Final,2488,8.47,"57,968",127
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,253,8.47,"652,048",128
Mo Dao Zu Shi,1017,8.47,"196,284",129
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,562,8.46,"341,960",130
Nichijou,175,8.46,"797,586",131
Owarimonogatari,426,8.46,"438,822",132
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,340,8.46,"540,667",133
Zoku Owarimonogatari,995,8.46,"200,262",134
Mo Dao Zu Shi: Xian Yun Pian,1955,8.45,"86,763",135
Saenai Heroine no Sodatekata Fine,1275,8.45,"154,144",136
Wu Liuqi Zhi Xuanwu Guo Pian,3099,8.45,"38,761",137
Yuu☆Yuu☆Hakusho,282,8.45,"607,130",138
Golden Kamuy 3rd Season,1442,8.45,"129,899",139
Haikyuu!!,37,8.45,"1,723,396",140
Josee to Tora to Sakana-tachi,630,8.45,"308,871",141
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,133,8.44,"950,401",142
Mushishi Zoku Shou: Odoro no Michi,1882,8.44,"91,583",143
Vivy: Fluorite Eye's Song,431,8.44,"433,441",144
,,,,
